"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-86.47295,39.02317,544.47,165.95
2,-86.47359,39.02225,544.47,165.95
3,-86.47193,39.02271,544.47,165.95
4,-86.47517,39.02201,544.47,165.95
5,-86.47637,39.02349,544.47,165.95
6,-86.47788,39.02379,544.47,165.95
7,-86.47968,39.02371,544.47,165.95
8,-86.48037,39.02329,544.47,165.95
9,-86.48084,39.02361,544.47,165.95
10,-86.48151,39.02289,544.47,165.95
11,-86.48195,39.02343,551.93,168.23
12,-86.48252,39.0232,549.11,167.37
13,-86.48158,39.02287,544.47,165.95
14,-86.4829,39.02261,549.76,167.57
15,-86.48318,39.02242,550.07,167.66
16,-86.48283,39.02235,547.92,167.01
17,-86.48225,39.02216,544.47,165.95
18,-86.48237,39.02079,544.47,165.95
19,-86.48295,39.02086,549.16,167.38
20,-86.48335,39.02081,549.77,167.57
21,-86.48525,39.01625,544.47,165.95
22,-86.48528,39.01648,544.47,165.95
23,-86.48519,39.01678,546.16,166.47
24,-86.48513,39.01718,552.27,168.33
25,-86.48549,39.01705,547.43,166.86
26,-86.48621,39.01689,544.47,165.95
27,-86.46349,39.10227,544.86,166.07
28,-86.46437,39.10103,544.47,165.95
29,-86.46407,39.09901,551.55,168.11
30,-86.46436,39.09849,552.27,168.33
31,-86.46624,39.09845,563.39,171.72
32,-86.46494,39.0972,544.6,165.99
33,-86.46432,39.0979,550.38,167.76
34,-86.46381,39.09842,544.47,165.95
35,-86.4636,39.09892,544.47,165.95
36,-86.46376,39.0993,548.29,167.12
37,-86.46389,39.09879,546.96,166.71
38,-86.46603,39.09719,544.47,165.95
39,-86.4663,39.09772,544.47,165.95
40,-86.46686,39.09806,544.73,166.03
41,-86.46686,39.09806,544.73,166.03
42,-86.46379,39.09866,544.47,165.95
43,-86.43379,39.08104,547.54,166.89
44,-86.43338,39.0809,545.33,166.22
45,-86.43278,39.0817,548.7,167.24
46,-86.43194,39.08148,546.82,166.67
47,-86.43227,39.08182,547.02,166.73
48,-86.43103,39.08114,548.71,167.25
49,-86.43035,39.08086,548.62,167.22
50,-86.42983,39.08033,552.69,168.46
51,-86.43091,39.08042,544.47,165.95
52,-86.43067,39.08068,544.47,165.95
53,-86.43036,39.07996,544.54,165.97
54,-86.38909,39.1091,544.47,165.95
55,-86.40339,39.1137,544.47,165.95
56,-86.40129,39.1162,544.47,165.95
57,-86.40339,39.12056,544.47,165.95
58,-86.40322,39.12362,561.08,171.02
59,-86.4055,39.12216,559.42,170.51
60,-86.40919,39.11939,544.47,165.95
61,-86.40618,39.11633,544.47,165.95
62,-86.40863,39.11769,544.47,165.95
63,-86.40533,39.12019,544.47,165.95
64,-86.39556,39.14978,576.6,175.75
65,-86.39316,39.14519,549.6,167.52
66,-86.39243,39.14159,551.09,167.97
67,-86.39017,39.13965,551.47,168.09
68,-86.38942,39.13907,550.62,167.83
69,-86.38784,39.12985,547.05,166.74
70,-86.3867,39.12636,545.72,166.33
71,-86.38688,39.12605,545,166.12
72,-86.38814,39.12399,550.62,167.83
73,-86.39278,39.12239,544.47,165.95
74,-86.39683,39.12279,544.47,165.95
75,-86.39583,39.11587,545.7,166.33
76,-86.39743,39.117,544.47,165.95
