Location,Latitude,Longitude,Elevation (m),Elevation (ft)
FAIRFAX,39.02317,-86.47295,166.7,546.8
FAIRFAX,39.02225,-86.47359,165.0,541.4
FAIRFAX,39.02271,-86.47193,165.0,541.3
FAIRFAX,39.02201,-86.47517,165.0,541.3
FAIRFAX,39.02349,-86.47637,165.0,541.2
FAIRFAX,39.02379,-86.47788,165.0,541.3
FAIRFAX,39.02371,-86.47968,165.0,541.3
FAIRFAX,39.02329,-86.48037,165.0,541.3
FAIRFAX,39.02361,-86.48084,165.0,541.3
FAIRFAX,39.02289,-86.48151,164.8,540.7
FAIRFAX,39.02343,-86.48195,167.7,550.2
FAIRFAX,39.02320,-86.48252,167.0,548.0
FAIRFAX,39.02287,-86.48158,164.8,540.6
FAIRFAX,39.02261,-86.48290,166.4,546.1
FAIRFAX,39.02242,-86.48318,167.6,549.9
FAIRFAX,39.02235,-86.48283,166.3,545.6
FAIRFAX,39.02216,-86.48225,165.0,541.3
FAIRFAX,39.02079,-86.48237,165.0,541.3
FAIRFAX,39.02086,-86.48295,166.6,546.7
FAIRFAX,39.02081,-86.48335,167.1,548.1
OSPREY TRAIL,39.01625,-86.48525,164.9,541.2
OSPREY TRAIL,39.01648,-86.48528,166.0,544.6
OSPREY TRAIL,39.01678,-86.48519,166.4,546.0
OSPREY TRAIL,39.01718,-86.48513,168.3,552.2
OSPREY TRAIL,39.01705,-86.48549,166.3,545.7
OSPREY TRAIL,39.01689,-86.48621,165.3,542.3
CARTOP,39.10227,-86.46349,165.8,544.1
CARTOP,39.10103,-86.46437,165.7,543.7
CARTOP,39.09901,-86.46407,168.1,551.5
CARTOP,39.09849,-86.46436,168.4,552.5
CARTOP,39.09845,-86.46624,171.7,563.4
CARTOP,39.09720,-86.46494,166.1,545.0
CARTOP,39.09790,-86.46432,166.5,546.4
CARTOP,39.09842,-86.46381,164.9,541.0
CARTOP,39.09892,-86.46360,164.2,538.5
CARTOP,39.09930,-86.46376,166.8,547.3
CARTOP,39.09879,-86.46389,166.3,545.6
CARTOP,39.09719,-86.46603,165.0,541.3
CARTOP,39.09772,-86.46630,165.3,542.3
CARTOP,39.09806,-86.46686,165.4,542.6
CARTOP,39.09806,-86.46686,165.4,542.6
CARTOP,39.09866,-86.46379,164.9,540.9
PAYNETOWN,39.08104,-86.43379,166.7,547.0
PAYNETOWN,39.08090,-86.43338,165.6,543.3
PAYNETOWN,39.08170,-86.43278,167.1,548.3
PAYNETOWN,39.08148,-86.43194,166.3,545.8
PAYNETOWN,39.08182,-86.43227,166.5,546.4
PAYNETOWN,39.08114,-86.43103,167.0,547.8
PAYNETOWN,39.08086,-86.43035,166.8,547.1
PAYNETOWN,39.08033,-86.42983,168.6,553.2
PAYNETOWN,39.08042,-86.43091,165.0,541.3
PAYNETOWN,39.08068,-86.43067,165.7,543.7
PAYNETOWN,39.07996,-86.43036,166.3,545.5
PINEGROVE,39.10910,-86.38909,165.0,541.3
PINEGROVE,39.11370,-86.40339,165.2,542.0
PINEGROVE,39.11620,-86.40129,164.8,540.6
PINEGROVE,39.12056,-86.40339,165.2,542.0
PINEGROVE,39.12362,-86.40322,171.0,561.0
PINEGROVE,39.12216,-86.40550,170.2,558.4
PINEGROVE,39.11939,-86.40919,165.0,541.3
PINEGROVE,39.11633,-86.40618,165.0,541.3
PINEGROVE,39.11769,-86.40863,165.0,541.3
PINEGROVE,39.12019,-86.40533,165.8,544.0
OBSERVATION,39.14978,-86.39556,176.0,577.4
OBSERVATION,39.14519,-86.39316,168.7,553.4
OBSERVATION,39.14159,-86.39243,168.5,552.8
OBSERVATION,39.13965,-86.39017,168.2,551.8
OBSERVATION,39.13907,-86.38942,168.6,553.0
OBSERVATION,39.12985,-86.38784,167.1,548.1
OBSERVATION,39.12636,-86.38670,166.2,545.2
OBSERVATION,39.12605,-86.38688,166.9,547.5
OBSERVATION,39.12399,-86.38814,167.4,549.3
OBSERVATION,39.12239,-86.39278,167.0,547.8
OBSERVATION,39.12279,-86.39683,166.1,545.0
OBSERVATION,39.11587,-86.39583,166.2,545.1
OBSERVATION,39.11700,-86.39743,166.3,545.5
